,countyFIPS,annual_avg_emplvl
583257,16049,4241
584007,16051,6856
584802,16053,10366
585590,16055,62231
587302,16057,13809
588273,16059,2515
588905,16061,1644
589356,16063,1691
589754,16065,15620
590703,16067,8017
591459,16069,21002
592627,16071,1267
593000,16073,3154
593519,16075,6366
594320,16077,3412
594809,16079,4502
595461,16081,3383
596176,16083,39270
597558,16085,4749
598275,16087,2771
598853,16999,10833
603377,17001,33312
604579,17003,1149
604858,17005,4650
605420,17007,19088
606307,17009,4220
606678,17011,11873
607521,17013,780
607769,17015,3847
608448,17017,5513
608944,17019,90419
610409,17021,10030
611190,17023,4597
611765,17025,5336
612337,17027,12268
613170,17029,23786
614116,17031,2592847
616489,17033,7009
617151,17035,2769
617590,17037,38012
618873,17039,5073
619427,17041,7456
620130,17043,616701
622180,17045,7039
622748,17047,2255
623132,17049,21991
624158,17051,5358
624824,17053,4638
625400,17055,9005
626223,17057,8122
626978,17059,1201
627286,17061,2341
627699,17063,19713
628655,17065,2044
629109,17067,4118
629684,17069,654
629898,17071,1073
630214,17073,13772
631139,17075,7799
631853,17077,24712
632909,17079,2029
633330,17081,20076
634255,17083,5096
634870,17085,7292
635669,17087,2217
636063,17089,213005
637938,17091,44642
639254,17093,28586
640433,17095,17750
641412,17097,338901
643348,17099,42404
644676,17101,4550
645163,17103,13156
645990,17105,13552
646875,17107,9183
647558,17109,10765
648324,17111,97524
650018,17113,82946
651381,17115,49601
652675,17117,10468
653472,17119,100825
655048,17121,12941
655923,17123,2851
656353,17125,3008
656856,17127,3073
657299,17129,1724
657743,17131,3140
658242,17133,8821
659055,17135,8723
659881,17137,13925
660722,17139,5082
661271,17141,15724
662207,17143,105657
663712,17145,4688
664305,17147,3586
664857,17149,4047
665445,17151,527
665671,17153,1708
665968,17155,1835
666323,17157,12156
667079,17159,5993
667752,17161,74124
669188,17163,92418
670821,17165,7832
671551,17167,129914
673111,17169,1557
673490,17171,973
673738,17173,5221
674375,17175,1361
674703,17177,17560
675698,17179,48214
677000,17181,4971
677597,17183,26529
678701,17185,3289
679213,17187,6551
679773,17189,6841
680368,17191,3714
680938,17193,4321
681458,17195,21048
682459,17197,245803
684390,17199,27919
685469,17201,126796
687082,17203,9662
687853,17999,136355
692646,18001,13883
693460,18003,188032
695242,18005,51172
696460,18007,2453
696886,18009,3321
697367,18011,29607
698554,18013,2937
699103,18015,5328
699661,18017,14843
700512,18019,53572
701863,18021,7792
702576,18023,10936
703313,18025,1885
703670,18027,11977
704497,18029,14045
705452,18031,14124
706314,18033,21890
707285,18035,45261
708547,18037,29054
709588,18039,137512
711136,18041,6388
711812,18043,30602
713013,18045,4778
713609,18047,4353
714223,18049,6362
714910,18051,20705
715738,18053,27417
716753,18055,6396
717467,18057,141940
719022,18059,24126
720144,18061,10408
