area_fips,naics_code,annual_avg_emplvl,STATE
35000,213,16702,35.0
35000,221,6219,35.0
35000,236,10952,35.0
35000,237,13776,35.0
35000,238,26118,35.0
35000,311,5788,35.0
35000,312,1172,35.0
35000,313,23,35.0
35000,314,111,35.0
35000,315,117,35.0
35000,316,25,35.0
35000,321,996,35.0
35000,322,574,35.0
35000,323,749,35.0
35000,324,797,35.0
35000,325,1377,35.0
35000,326,1099,35.0
35000,327,1834,35.0
35000,331,406,35.0
35000,332,2418,35.0
35000,333,1313,35.0
35000,334,4557,35.0
35000,335,583,35.0
35000,336,856,35.0
35000,337,523,35.0
35000,339,1831,35.0
35000,423,11990,35.0
35000,424,8059,35.0
35000,425,1003,35.0
35000,441,13134,35.0
35000,442,2074,35.0
35000,443,2313,35.0
35000,444,7704,35.0
35000,445,15004,35.0
35000,446,4895,35.0
35000,447,8083,35.0
35000,448,5631,35.0
35000,451,3227,35.0
35000,452,22569,35.0
35000,453,5998,35.0
35000,454,1467,35.0
35000,481,1166,35.0
35000,482,0,35.0
35000,484,8688,35.0
35000,485,3326,35.0
35000,486,637,35.0
35000,487,177,35.0
35000,488,2866,35.0
35000,491,3045,35.0
35000,492,2679,35.0
35000,493,1612,35.0
35000,511,1509,35.0
35000,512,3239,35.0
35000,515,1109,35.0
35000,517,5288,35.0
35000,518,764,35.0
35000,519,1117,35.0
35000,522,11302,35.0
35000,523,1656,35.0
35000,524,9784,35.0
35000,525,16,35.0
35000,531,6925,35.0
35000,532,3318,35.0
35000,533,17,35.0
35000,541,58292,35.0
35000,551,5644,35.0
35000,561,42140,35.0
35000,562,3778,35.0
35000,611,74320,35.0
35000,621,50953,35.0
35000,622,38019,35.0
35000,623,15153,35.0
35000,624,35890,35.0
35000,711,1583,35.0
35000,712,1438,35.0
35000,713,13395,35.0
35000,721,20677,35.0
35000,722,73454,35.0
35000,811,8404,35.0
35000,812,5939,35.0
35000,813,6086,35.0
35000,814,806,35.0
35000,921,16104,35.0
35000,922,20050,35.0
35000,923,6692,35.0
35000,924,6556,35.0
35000,925,1461,35.0
35000,926,3369,35.0
35000,927,80,35.0
35000,928,5910,35.0
36000,111,12799,36.0
36000,112,10790,36.0
36000,113,623,36.0
36000,114,111,36.0
36000,115,2746,36.0
36000,211,145,36.0
36000,212,4116,36.0
36000,213,458,36.0
36000,221,37604,36.0
36000,236,106643,36.0
36000,237,32442,36.0
36000,238,260543,36.0
36000,311,57122,36.0
36000,312,10458,36.0
36000,313,3353,36.0
36000,314,3545,36.0
36000,315,14038,36.0
36000,316,1350,36.0
36000,321,7836,36.0
36000,322,14520,36.0
36000,323,20323,36.0
36000,324,1810,36.0
36000,325,38220,36.0
36000,326,21204,36.0
36000,327,15654,36.0
36000,331,10629,36.0
36000,332,49192,36.0
36000,333,37743,36.0
36000,334,57315,36.0
36000,335,13329,36.0
36000,336,21048,36.0
36000,337,12589,36.0
36000,339,30315,36.0
36000,423,155978,36.0
36000,424,151357,36.0
36000,425,22485,36.0
36000,441,80667,36.0
36000,442,28669,36.0
36000,443,35252,36.0
36000,444,64678,36.0
36000,445,219189,36.0
36000,446,88794,36.0
36000,447,30134,36.0
36000,448,124098,36.0
36000,451,31968,36.0
36000,452,142677,36.0
36000,453,47160,36.0
36000,454,37684,36.0
36000,481,34684,36.0
36000,482,0,36.0
36000,483,3738,36.0
36000,484,40453,36.0
36000,485,133261,36.0
36000,486,394,36.0
36000,487,2945,36.0
36000,488,38452,36.0
36000,491,43212,36.0
36000,492,40356,36.0
36000,493,27463,36.0
36000,511,63086,36.0
36000,512,59863,36.0
36000,515,33986,36.0
36000,517,43651,36.0
36000,518,19543,36.0
36000,519,55513,36.0
36000,521,0,36.0
36000,522,164858,36.0
36000,523,199082,36.0
36000,524,145449,36.0
36000,525,0,36.0
36000,531,173853,36.0
36000,532,25032,36.0
36000,533,2219,36.0
36000,541,677916,36.0
36000,551,144325,36.0
36000,561,504226,36.0
36000,562,24828,36.0
36000,611,956043,36.0
36000,621,581258,36.0
36000,622,437939,36.0
36000,623,277343,36.0
36000,624,358121,36.0
36000,711,62542,36.0
36000,712,20769,36.0
36000,713,101078,36.0
36000,721,102497,36.0
36000,722,677498,36.0
36000,811,60576,36.0
36000,812,127328,36.0
36000,813,155333,36.0
36000,814,27266,36.0
36000,921,218668,36.0
36000,922,168044,36.0
36000,923,52079,36.0
36000,924,35328,36.0
36000,925,13061,36.0
36000,926,40840,36.0
36000,927,34,36.0
36000,928,9849,36.0
36000,999,18301,36.0
37000,111,11074,37.0
37000,112,8603,37.0
37000,113,2835,37.0
37000,114,30,37.0
37000,115,4545,37.0
37000,211,0,37.0
37000,212,2799,37.0
37000,213,0,37.0
37000,221,14534,37.0
37000,236,48115,37.0
37000,237,34879,37.0
37000,238,137698,37.0
37000,311,56960,37.0
37000,312,11530,37.0
37000,313,27595,37.0
37000,314,6191,37.0
37000,315,7007,37.0
37000,316,726,37.0
37000,321,18523,37.0
37000,322,17162,37.0
37000,323,11493,37.0
37000,324,612,37.0
37000,325,41898,37.0
37000,326,35026,37.0
37000,327,15731,37.0
37000,331,7702,37.0
37000,332,38033,37.0
37000,333,35240,37.0
37000,334,32488,37.0
37000,335,22683,37.0
37000,336,37103,37.0
37000,337,36143,37.0
37000,339,15087,37.0
37000,423,100517,37.0
37000,424,61450,37.0
37000,425,20473,37.0
37000,441,69205,37.0
37000,442,15760,37.0
37000,443,14116,37.0
37000,444,45171,37.0
37000,445,92031,37.0
37000,446,32782,37.0
37000,447,31993,37.0
37000,448,39865,37.0
37000,451,17309,37.0
37000,452,106672,37.0
37000,453,25024,37.0
37000,454,13343,37.0
37000,481,15357,37.0
37000,483,238,37.0
37000,484,46213,37.0
37000,485,8451,37.0
37000,486,366,37.0
37000,487,378,37.0
37000,488,17451,37.0
37000,491,19288,37.0
37000,492,18754,37.0
37000,493,29952,37.0
37000,511,23477,37.0
37000,512,5546,37.0
37000,515,7956,37.0
37000,517,26000,37.0
37000,518,14629,37.0
37000,519,3465,37.0
37000,521,269,37.0
37000,522,89474,37.0
37000,523,25219,37.0
37000,524,58575,37.0
37000,525,121,37.0
37000,531,44617,37.0
37000,532,14784,37.0
37000,533,515,37.0
37000,541,258261,37.0
37000,551,83857,37.0
37000,561,286091,37.0
37000,562,11456,37.0
37000,611,383132,37.0
37000,621,218980,37.0
37000,622,214678,37.0
37000,623,102567,37.0
37000,624,81808,37.0
37000,711,15277,37.0
37000,712,4670,37.0
37000,713,53017,37.0
37000,721,45269,37.0
37000,722,385472,37.0
37000,811,41451,37.0
37000,812,37447,37.0
37000,813,23860,37.0
37000,814,8474,37.0
37000,921,151599,37.0
37000,922,32052,37.0
37000,923,14551,37.0
37000,924,2457,37.0
37000,925,2103,37.0
37000,926,22378,37.0
37000,927,5,37.0
37000,928,16032,37.0
37000,999,0,37.0
38000,111,3158,38.0
38000,112,692,38.0
38000,113,0,38.0
38000,114,0,38.0
38000,115,749,38.0
38000,211,2616,38.0
38000,212,2031,38.0
38000,213,16158,38.0
38000,221,3983,38.0
38000,236,5486,38.0
38000,237,6148,38.0
38000,238,14368,38.0
38000,311,4896,38.0
38000,312,296,38.0
38000,313,0,38.0
38000,314,233,38.0
38000,315,20,38.0
38000,316,0,38.0
38000,321,1871,38.0
38000,322,0,38.0
38000,323,736,38.0
38000,324,0,38.0
38000,325,366,38.0
38000,326,1508,38.0
38000,327,1384,38.0
38000,331,0,38.0
38000,332,2279,38.0
38000,333,5582,38.0
38000,334,1375,38.0
38000,335,165,38.0
38000,336,2736,38.0
38000,337,854,38.0
38000,339,584,38.0
38000,423,12253,38.0
38000,424,11329,38.0
38000,425,310,38.0
38000,441,6930,38.0
38000,442,1446,38.0
38000,443,1452,38.0
