STATE,COUNTY,STNAME,CTYNAME,SHELTER_DATE
5,41,Arkansas,Desha County,
5,43,Arkansas,Drew County,
5,45,Arkansas,Faulkner County,
5,47,Arkansas,Franklin County,
5,49,Arkansas,Fulton County,
5,51,Arkansas,Garland County,
5,53,Arkansas,Grant County,
5,55,Arkansas,Greene County,
5,57,Arkansas,Hempstead County,
5,59,Arkansas,Hot Spring County,
5,61,Arkansas,Howard County,
5,63,Arkansas,Independence County,
5,65,Arkansas,Izard County,
5,67,Arkansas,Jackson County,
5,69,Arkansas,Jefferson County,
5,71,Arkansas,Johnson County,
5,73,Arkansas,Lafayette County,
5,75,Arkansas,Lawrence County,
5,77,Arkansas,Lee County,
5,79,Arkansas,Lincoln County,
5,81,Arkansas,Little River County,
5,83,Arkansas,Logan County,
5,85,Arkansas,Lonoke County,
5,87,Arkansas,Madison County,
5,89,Arkansas,Marion County,
5,91,Arkansas,Miller County,
5,93,Arkansas,Mississippi County,
5,95,Arkansas,Monroe County,
5,97,Arkansas,Montgomery County,
5,99,Arkansas,Nevada County,
5,101,Arkansas,Newton County,
5,103,Arkansas,Ouachita County,
5,105,Arkansas,Perry County,
5,107,Arkansas,Phillips County,
5,109,Arkansas,Pike County,
5,111,Arkansas,Poinsett County,
5,113,Arkansas,Polk County,
5,115,Arkansas,Pope County,
5,117,Arkansas,Prairie County,
5,119,Arkansas,Pulaski County,
5,121,Arkansas,Randolph County,
5,123,Arkansas,St. Francis County,
5,125,Arkansas,Saline County,
5,127,Arkansas,Scott County,
5,129,Arkansas,Searcy County,
5,131,Arkansas,Sebastian County,
5,133,Arkansas,Sevier County,
5,135,Arkansas,Sharp County,
5,137,Arkansas,Stone County,
5,139,Arkansas,Union County,
5,141,Arkansas,Van Buren County,
5,143,Arkansas,Washington County,
5,145,Arkansas,White County,
5,147,Arkansas,Woodruff County,
5,149,Arkansas,Yell County,
6,1,California,Alameda County,3/16/20
6,3,California,Alpine County,3/19/20
6,5,California,Amador County,3/19/20
6,7,California,Butte County,3/19/20
6,9,California,Calaveras County,3/19/20
6,11,California,Colusa County,3/19/20
6,13,California,Contra Costa County,3/16/20
6,15,California,Del Norte County,3/19/20
6,17,California,El Dorado County,3/19/20
6,19,California,Fresno County,3/19/20
6,21,California,Glenn County,3/19/20
6,23,California,Humboldt County,3/19/20
6,25,California,Imperial County,3/19/20
6,27,California,Inyo County,3/19/20
6,29,California,Kern County,3/19/20
6,31,California,Kings County,3/19/20
6,33,California,Lake County,3/19/20
6,35,California,Lassen County,3/19/20
6,37,California,Los Angeles County,3/19/20
6,39,California,Madera County,3/19/20
6,41,California,Marin County,3/16/20
6,43,California,Mariposa County,3/19/20
6,45,California,Mendocino County,3/19/20
6,47,California,Merced County,3/19/20
6,49,California,Modoc County,3/19/20
6,51,California,Mono County,3/19/20
6,53,California,Monterey County,3/19/20
6,55,California,Napa County,3/19/20
6,57,California,Nevada County,3/19/20
6,59,California,Orange County,3/19/20
6,61,California,Placer County,3/19/20
6,63,California,Plumas County,3/19/20
6,65,California,Riverside County,3/19/20
6,67,California,Sacramento County,3/19/20
6,69,California,San Benito County,3/19/20
6,71,California,San Bernardino County,3/19/20
6,73,California,San Diego County,3/19/20
6,75,California,San Francisco County,3/16/20
6,77,California,San Joaquin County,3/19/20
6,79,California,San Luis Obispo County,3/19/20
6,81,California,San Mateo County,3/16/20
6,83,California,Santa Barbara County,3/19/20
6,85,California,Santa Clara County,3/16/20
6,87,California,Santa Cruz County,3/19/20
6,89,California,Shasta County,3/19/20
6,91,California,Sierra County,3/19/20
6,93,California,Siskiyou County,3/19/20
6,95,California,Solano County,3/19/20
6,97,California,Sonoma County,3/19/20
6,99,California,Stanislaus County,3/19/20
6,101,California,Sutter County,3/19/20
6,103,California,Tehama County,3/19/20
6,105,California,Trinity County,3/19/20
6,107,California,Tulare County,3/19/20
6,109,California,Tuolumne County,3/19/20
6,111,California,Ventura County,3/19/20
6,113,California,Yolo County,3/19/20
6,115,California,Yuba County,3/19/20
8,1,Colorado,Adams County,3/26/20
8,3,Colorado,Alamosa County,3/26/20
8,5,Colorado,Arapahoe County,3/26/20
8,7,Colorado,Archuleta County,3/26/20
8,9,Colorado,Baca County,3/26/20
8,11,Colorado,Bent County,3/26/20
8,13,Colorado,Boulder County,3/26/20
8,14,Colorado,Broomfield County,3/26/20
8,15,Colorado,Chaffee County,3/26/20
8,17,Colorado,Cheyenne County,3/26/20
8,19,Colorado,Clear Creek County,3/26/20
8,21,Colorado,Conejos County,3/26/20
8,23,Colorado,Costilla County,3/26/20
8,25,Colorado,Crowley County,3/26/20
8,27,Colorado,Custer County,3/26/20
8,29,Colorado,Delta County,3/26/20
8,31,Colorado,Denver County,3/26/20
8,33,Colorado,Dolores County,3/26/20
8,35,Colorado,Douglas County,3/26/20
8,37,Colorado,Eagle County,3/26/20
8,39,Colorado,Elbert County,3/26/20
8,41,Colorado,El Paso County,3/26/20
8,43,Colorado,Fremont County,3/26/20
8,45,Colorado,Garfield County,3/26/20
8,47,Colorado,Gilpin County,3/26/20
8,49,Colorado,Grand County,3/26/20
8,51,Colorado,Gunnison County,3/26/20
8,53,Colorado,Hinsdale County,3/26/20
8,55,Colorado,Huerfano County,3/26/20
8,57,Colorado,Jackson County,3/26/20
8,59,Colorado,Jefferson County,3/26/20
8,61,Colorado,Kiowa County,3/26/20
8,63,Colorado,Kit Carson County,3/26/20
